Temperature (°C),Humidity (%),Accel_X (g),Accel_Y (g),Accel_Z (g),Soil_Moisture,Light_Intensity (Lux),LIS3DH_Temp (°C),BME680_Temp (°C),BME680_Humidity (%),BME680_Pressure (hPa),BME680_Gas (Ohms)
32.18,33.08,-0.16200000000000003,-0.86,1.242,407.64,1447.3,26.86,28.6,37.64,968.7,303.28
31.13,36.03,1.319,-1.547,1.815,218.21000000000004,618.2,31.38,26.05,79.84,1023.15,108.55000000000001
30.04,54.18,-0.6939999999999998,1.675,-1.841,412.99,1253.31,29.12,29.45,65.67,991.69,706.82
21.06,59.53,1.699,-1.12,0.08299999999999999,259.8,1447.92,29.78,32.79,31.35,955.32,781.05
25.81,30.46,-0.073,0.132,1.34,769.57,766.93,23.4,30.01,47.7,1043.11,126.17000000000002
20.28,78.25,0.5739999999999998,-1.857,-0.095,342.39,1429.16,22.12,24.55,75.23,999.55,933.4
25.74,50.7,0.447,-1.257,0.196,735.16,1127.29,34.92,34.44,38.46,966.55,653.83
21.67,75.75,0.37,-0.653,1.721,326.32,909.86,20.81,32.59,40.43,1000.29,417.75
28.01,40.37,-1.841,0.836,0.398,202.15999999999997,1985.82,23.06,20.77,79.7,1039.44,530.27
21.71,48.31,0.878,-1.936,0.764,650.53,1918.27,20.78,24.44,59.99,960.67,196.85000000000002
21.04,43.59,1.783,1.469,-1.4309999999999998,240.56,1674.08,31.19,22.71,41.75,951.08,981.29
24.05,52.6,1.649,-0.469,1.385,489.61,433.6,20.84,26.57,38.15,960.37,149.22000000000003
21.94,45.03,-0.6609999999999999,-0.239,-0.37,216.58000000000004,1613.1,22.87,22.01,71.57,987.16,768.49
22.19,72.88,-0.888,0.366,1.721,425.95,1686.71,30.57,29.35,31.22,960.78,169.49
27.14,73.81,-1.566,1.029,-1.437,280.28,486.72,29.21,25.05,46.63,965.7,588.43
22.39,34.22,-1.614,-0.381,-1.749,495.63,944.3,31.96,25.34,58.59,974.65,459.05
21.75,60.23,0.6720000000000002,-0.553,0.9889999999999999,796.37,409.94000000000005,25.22,32.6,44.06,999.47,379.77
25.69,38.77,0.739,-0.9159999999999999,-1.384,274.81999999999994,1641.4,20.16,24.94,55.27,968.83,492.56
20.58,42.83,1.106,-0.658,-1.352,751.07,526.49,25.3,26.87,53.23,1040.85,822.06
32.39,67.52,0.048,-0.019,-0.773,580.74,1529.67,24.75,26.61,72.8,1028.42,472.22
27.94,48.87,0.215,-0.622,-0.052,684.27,1359.47,26.2,29.7,42.27,986.29,447.81
30.43,79.2,1.397,-0.316,0.296,510.01,1960.05,23.44,22.79,44.22,1029.52,333.36
30.46,54.38,0.509,0.064,1.7289999999999999,548.0,680.5700000000002,25.72,28.4,33.44,1043.32,962.21
22.03,77.87,-1.344,-1.517,0.23,609.11,1982.11,33.07,22.58,75.65,954.25,587.83
28.69,65.52,0.346,1.593,0.158,774.35,623.95,20.99,25.51,59.85,1023.52,283.46
28.59,73.65,0.841,-0.767,1.67,334.7900000000001,1381.38,21.9,30.56,76.51,988.6,638.47
21.65,49.77,0.364,-1.7,1.9769999999999999,542.74,1934.64,29.92,33.92,42.91,967.32,387.5
20.8,73.72,1.464,-0.16,-0.526,594.91,255.15999999999997,32.81,27.79,38.62,1013.91,589.36
22.28,75.85,-0.337,1.297,-1.921,767.23,270.8399999999999,32.13,33.93,78.78,1043.48,798.44
34.28,42.68,0.73,0.979,1.5250000000000001,435.01,376.88,27.84,29.66,60.24,1045.09,383.88
25.45,30.71,1.823,1.157,-0.572,523.88,1849.47,32.91,33.7,66.17,1035.92,821.33
27.16,47.04,-1.118,-1.231,-0.241,358.29,1649.51,31.34,32.44,59.47,1005.76,966.66
28.82,50.58,0.741,-0.727,-0.497,756.8,502.4100000000001,29.14,24.1,69.53,979.19,205.3
23.58,32.54,0.781,1.926,1.524,296.59,875.34,20.68,31.2,44.87,1027.34,969.29
32.23,42.2,-0.6,1.841,0.222,276.59,399.0,31.75,24.13,77.28,997.35,291.21
27.72,49.98,0.016000000000000004,-1.663,0.292,725.34,1296.55,29.78,27.98,67.74,995.85,588.12
31.68,35.33,-0.05600000000000001,0.327,-1.809,578.85,1669.65,22.66,24.57,53.77,961.98,690.73
33.07,68.46,-0.165,1.829,1.846,319.74,1450.71,34.32,34.28,36.41,998.27,275.41
34.53,66.47,0.459,0.192,-1.987,516.05,1951.98,29.34,34.6,58.26,997.09,557.54
31.56,51.2,-1.212,0.7159999999999999,-0.29,594.64,188.29999999999995,30.94,27.82,51.39,1012.49,855.76
34.6,38.15,-1.12,1.922,-1.2480000000000002,405.28,708.66,27.08,29.66,53.84,957.47,724.79
29.53,54.19,-1.111,-1.247,-1.39,497.03,1279.62,24.89,22.78,31.64,964.62,104.13999999999999
20.07,70.21,-0.441,0.40099999999999997,-0.41600000000000004,688.44,1502.23,32.92,27.65,69.96,999.58,830.93
29.12,47.49,-0.284,1.48,-1.534,474.74,579.87,26.92,34.88,39.14,953.24,445.22
31.47,66.26,1.717,-1.735,1.889,564.74,1847.78,20.08,26.0,39.52,990.76,783.39
29.97,43.93,-1.8510000000000002,0.694,1.129,386.0,401.65,23.84,20.07,32.94,951.33,773.54
30.08,56.22,-1.256,-0.49000000000000005,-0.07199999999999998,339.88,1541.72,21.27,22.62,32.86,968.17,816.67
23.61,72.94,1.956,-0.6,1.602,630.17,894.44,27.33,33.48,74.92,1038.11,809.67
33.0,67.36,1.532,-0.662,0.14,450.22,1617.23,24.48,32.41,71.19,962.1,255.78999999999996
28.6,40.34,0.247,-1.308,0.5,759.51,705.26,26.75,29.54,56.85,1011.65,253.2
32.91,75.44,-1.6869999999999998,0.762,-1.302,522.02,1175.95,21.83,25.97,60.75,1003.34,636.7
28.13,37.61,-0.623,-1.754,-1.798,334.7,857.2,33.19,20.61,42.66,989.68,619.99
25.71,53.66,1.605,0.286,-1.254,799.23,1328.93,24.94,24.53,43.14,1039.7,491.55
25.13,75.95,1.408,0.322,-1.791,444.66,1448.01,33.95,31.2,72.13,1044.06,620.55
33.55,71.7,0.36,-0.291,0.779,695.68,1417.1,27.53,23.53,61.25,999.14,890.1
30.87,64.72,1.475,0.65,0.15,433.01,1050.5,32.16,27.02,79.76,1025.34,807.14
28.97,79.94,0.943,-0.157,-0.738,446.42,1920.29,30.0,34.91,71.45,958.26,912.36
31.72,67.53,-1.147,-0.419,-0.795,371.28,507.75,24.18,25.74,57.97,1017.05,571.5
21.46,49.38,-0.576,-0.131,0.543,504.93,1530.48,20.24,32.87,52.99,1019.52,213.8
21.41,73.19,1.625,1.384,0.204,392.92,792.1800000000001,23.77,26.89,33.27,963.91,806.75
21.31,78.98,0.8629999999999999,1.939,-0.123,477.67,1801.98,34.95,28.47,46.55,970.8,182.99
33.47,63.11,0.501,-0.26,1.662,738.27,300.97,30.9,21.39,37.34,1033.25,864.13
26.22,61.81,1.245,0.066,1.017,505.1,1211.11,25.1,24.12,37.54,1028.42,953.1
33.12,31.85,0.072,-0.14,0.03,778.29,282.30999999999995,29.86,24.35,52.49,997.5,415.55
33.92,52.94,-1.668,-1.642,1.931,384.42,1671.77,28.05,26.39,48.88,979.51,861.33
20.34,37.4,-1.025,-0.814,-1.602,491.38,1779.63,20.86,30.6,69.92,959.62,513.74
20.44,37.28,-0.621,-1.387,-1.361,769.85,1366.41,27.66,21.83,71.01,983.41,807.01
30.4,67.62,0.353,-0.311,1.443,347.07,554.03,24.28,22.29,73.71,1033.74,234.78999999999996
34.53,42.84,-1.804,-0.225,-0.771,671.2,531.11,30.32,20.32,78.11,1002.84,957.54
32.93,68.27,-0.13,1.345,-1.263,211.99,1703.59,23.09,32.31,31.75,1026.14,732.07
30.59,70.54,0.282,0.287,-1.888,732.91,1832.82,34.63,28.83,55.86,988.65,332.47
26.13,36.2,-0.41700000000000004,-1.7970000000000002,0.74,483.38,398.68000000000006,24.63,27.07,56.5,963.82,153.02999999999997
32.81,48.57,-1.968,-1.709,-0.407,294.47,880.14,25.78,20.79,50.15,969.85,254.83999999999997
32.54,40.91,-0.669,1.846,0.713,542.55,854.17,34.38,27.46,69.7,951.32,863.14
25.51,42.94,1.348,1.103,1.178,298.76,1771.76,30.86,33.45,36.48,977.25,923.21
31.91,36.7,-0.107,0.834,-1.952,313.92,1584.57,27.86,24.07,53.6,1027.34,536.9
27.86,79.93,-1.91,-1.23,-0.568,618.56,1644.01,28.71,26.5,47.57,1041.59,905.63
24.82,47.28,-0.022,-0.639,0.906,742.63,672.39,23.14,20.23,41.0,1042.06,299.61
30.96,55.31,-1.885,1.81,-1.052,460.9,233.45000000000005,27.63,30.31,30.44,1009.02,471.91
32.38,30.31,-1.534,-0.813,-1.15,421.23,995.18,22.09,20.29,36.8,1004.56,982.19
20.26,32.02,1.515,-1.761,-1.651,378.9,1236.4,25.34,25.28,36.2,952.07,143.83000000000004
27.37,35.45,0.108,0.9800000000000001,0.866,424.11,1315.84,32.63,21.1,37.8,963.79,792.75
27.04,37.17,0.862,1.209,1.156,391.26,1836.9,33.47,30.57,56.3,972.83,676.31
27.81,35.18,0.515,-1.818,1.859,415.51,1026.05,26.9,24.48,79.77,1034.75,750.89
20.82,76.96,-1.975,0.548,0.359,535.27,1084.92,22.48,31.12,72.5,1038.98,306.51
34.6,30.9,1.457,1.749,1.407,608.56,240.10000000000002,32.83,31.39,43.92,997.63,780.15
31.59,63.31,-0.373,0.49600000000000005,0.039,357.73,1282.52,28.17,22.82,36.45,1042.53,977.6
29.09,32.16,1.997,1.954,0.699,355.84,784.58,21.81,30.05,74.65,1014.7,795.32
31.81,65.83,-0.118,1.963,-1.62,352.02,643.88,25.22,27.21,77.69,1005.28,217.58000000000004
34.17,38.01,1.031,1.073,-0.9600000000000001,273.25,1132.32,27.41,26.22,63.58,955.85,103.15999999999997
28.8,69.72,1.573,1.807,0.531,393.26,1655.45,24.24,20.8,71.38,998.92,802.99
30.43,70.82,0.848,-1.878,-1.786,501.58,1998.02,25.85,27.91,51.08,1038.71,797.52
29.75,72.01,1.869,-1.674,1.738,583.75,126.02999999999997,34.18,31.99,48.25,1005.92,335.08
22.54,31.69,-1.131,1.174,0.746,328.84,1960.47,32.41,30.63,57.01,1027.15,331.99
20.26,63.37,-1.783,-1.729,0.147,735.85,1161.54,20.2,20.01,74.51,1006.82,171.07
29.51,70.56,-0.582,0.494,-0.512,493.47,1482.01,34.07,27.55,68.07,1042.31,893.09
22.44,72.24,1.127,-1.629,0.647,678.27,142.74,27.86,24.15,79.07,995.41,777.73
23.38,79.83,-1.059,1.233,1.885,573.18,1098.15,21.39,31.18,36.04,974.54,866.23
24.8,59.81,-1.481,-1.709,-0.394,728.95,1221.1,29.9,30.9,75.13,972.77,383.44
24.65,57.44,-0.839,-1.032,0.962,292.2099999999999,659.41,24.83,28.66,45.6,1016.49,842.64
26.37,61.42,1.4329999999999998,0.273,-1.609,330.84,782.86,32.57,31.36,41.23,1033.1,378.58
21.14,65.57,-1.0,-2.0,-1.383,476.85,1271.85,33.47,26.66,78.16,956.87,883.31
29.1,45.48,1.447,-0.268,-1.4140000000000001,681.08,1177.32,31.11,21.07,65.02,1030.86,521.31
28.95,46.18,-1.023,0.841,-0.833,464.28,401.23,27.3,27.26,58.08,968.26,539.04
25.99,33.76,-1.83,0.719,-1.573,400.65,1110.98,31.53,27.8,44.07,1016.83,252.32
22.58,36.63,-1.144,-0.9769999999999999,-0.248,613.84,1901.77,27.94,24.73,59.41,997.02,574.46
22.84,34.84,0.549,-1.706,-0.8239999999999998,498.29,539.74,30.97,27.58,59.84,965.67,139.94
33.88,71.42,1.146,0.78,1.462,505.52,1232.13,30.7,20.18,34.09,997.22,168.13
33.55,69.43,1.399,1.116,0.536,568.67,425.67999999999995,28.33,32.1,68.07,955.77,905.99
31.6,55.66,-0.269,-1.796,-1.485,592.88,1415.07,32.46,22.22,35.6,995.41,590.98
25.98,75.12,0.717,0.614,-0.005999999999999998,454.79,598.57,29.22,25.68,35.7,1043.08,428.05
30.55,48.52,-0.212,-1.498,0.908,382.09,479.04999999999995,21.95,32.99,60.13,967.1,574.86
33.48,73.39,1.52,1.928,-0.346,223.61,1195.58,30.5,26.39,54.65,1026.49,711.63
27.81,37.96,1.396,1.5960000000000003,-0.145,251.85,435.01999999999987,21.2,31.15,79.62,989.53,200.44
23.11,49.59,0.04000000000000001,-1.079,1.837,440.07,985.83,24.98,33.73,49.45,995.46,650.71
34.23,51.78,-0.798,0.508,1.394,698.07,963.19,32.77,25.89,33.91,984.94,575.7
25.91,54.09,-0.082,1.767,1.754,743.03,1970.78,28.84,24.13,64.77,972.25,420.96
22.77,56.58,1.516,-1.672,-1.186,435.13,1169.56,29.41,34.15,78.36,981.32,218.39
34.45,51.72,-1.543,1.854,-1.634,706.21,953.17,33.86,26.16,66.18,1037.03,440.11
21.87,47.3,0.561,-0.769,1.62,763.15,736.32,33.74,27.81,31.71,1013.27,656.63
28.4,43.33,-1.333,0.3459999999999999,1.2529999999999997,346.13,461.62,28.04,25.15,58.53,952.64,353.49
23.42,50.01,-0.427,-1.393,-0.488,700.2,574.78,28.42,26.97,46.26,1009.56,365.9
32.69,44.14,1.188,0.374,-0.511,792.2,1062.35,25.85,20.99,76.47,1016.77,541.75
23.64,41.8,-1.357,1.303,-1.5200000000000002,735.48,154.51999999999998,34.77,27.9,74.4,973.0,278.17
23.47,66.69,1.119,0.662,1.808,718.59,1192.25,21.89,32.34,55.52,1015.29,466.98
27.34,78.8,-1.817,-0.884,0.543,715.47,1141.25,32.58,24.88,32.03,972.3,252.41999999999996
32.19,60.08,1.7550000000000001,-0.437,-0.207,544.29,1035.55,29.67,27.43,79.1,963.61,113.35000000000002
34.86,39.37,0.6820000000000002,0.36400000000000005,-1.419,444.07,768.73,30.79,26.25,37.84,1019.24,305.26
24.68,44.49,1.417,-1.849,-0.135,352.23,408.74,22.2,31.51,67.7,988.87,232.06
28.44,56.5,1.2889999999999997,0.719,-0.099,663.49,1038.78,27.98,29.61,71.73,1002.75,549.8
31.79,63.39,0.033000000000000015,0.14,-1.2569999999999997,720.98,1824.16,33.99,33.41,75.06,984.6,743.53
29.74,42.18,1.219,1.992,-1.8649999999999998,709.65,980.31,20.79,20.45,66.68,1013.6,864.24
33.2,57.74,-0.9860000000000001,-1.4850000000000003,0.99,501.97,135.30999999999995,22.12,32.73,38.41,1028.46,667.94
25.87,72.55,0.36,1.015,-1.65,769.32,1826.73,33.43,31.21,71.35,965.32,581.23
30.75,75.41,0.387,1.134,1.6180000000000003,387.78,1788.61,21.67,27.92,76.08,1009.13,309.43
32.77,37.4,-0.573,-1.459,0.403,778.88,1463.0,26.04,22.39,58.65,1045.67,606.53
29.79,63.18,0.05399999999999999,1.373,1.5970000000000002,593.43,1374.49,23.19,29.02,46.84,1043.22,149.08000000000004
30.15,43.57,1.773,-1.906,-0.542,259.55,1891.12,31.99,25.26,48.45,986.53,638.97
29.59,31.27,1.542,0.311,-0.509,644.53,1778.5,26.16,28.04,55.78,970.26,120.94999999999999
27.47,44.62,1.94,1.503,-0.694,424.8,980.49,21.45,28.3,71.52,1047.54,158.74
33.08,50.81,-0.358,0.202,1.602,267.35,888.84,33.26,34.83,78.37,1040.38,136.39
27.75,78.04,-0.972,0.06,0.578,426.77,1028.12,34.57,20.79,73.65,1019.82,298.22
34.13,77.9,0.275,0.706,-1.365,619.73,1987.96,20.05,30.07,74.16,1044.06,554.4
32.23,46.58,1.325,-0.106,0.042,480.03,541.82,23.54,24.71,45.14,1030.76,403.05
32.79,67.76,-0.827,-0.833,1.148,483.09,1633.15,33.79,27.18,76.65,979.53,564.92
21.06,52.11,-1.502,-0.51,0.377,629.92,1391.9,27.09,25.95,57.59,970.96,928.77
28.41,66.55,0.714,0.40099999999999997,1.859,469.93,423.96000000000004,26.61,23.04,55.48,975.57,971.32
21.55,39.45,-0.361,-0.533,-1.539,253.25,1976.9,29.87,32.76,30.46,1026.91,113.88999999999999
22.75,40.49,-0.201,1.106,-1.4480000000000002,581.16,559.43,34.52,25.91,43.81,1003.69,113.44
29.93,36.5,0.724,0.315,-0.035,695.09,1080.02,32.53,32.19,51.19,1027.7,612.31
27.58,36.86,-1.891,1.533,0.07899999999999999,333.15,139.03999999999996,20.8,21.37,54.43,1036.19,235.77999999999997
26.61,67.78,0.469,-0.61,1.004,215.89,1115.4,30.94,28.64,48.94,1041.34,855.73
30.75,71.62,-1.282,-0.334,1.221,478.23,1840.81,24.63,34.89,55.38,970.83,166.94
21.03,74.7,0.842,0.304,-0.45100000000000007,724.57,1917.15,32.54,25.0,58.82,990.81,594.8
31.31,30.8,0.884,-0.809,1.2440000000000002,212.12,1823.0699999999997,22.57,32.78,43.34,1021.16,736.2
30.71,44.23,-1.145,-0.127,1.73,642.82,470.20000000000005,22.24,34.19,64.15,1045.59,547.0
33.78,72.47,-1.56,0.264,-1.9459999999999997,781.29,926.13,32.96,24.7,57.02,957.28,434.84
34.66,61.6,-0.211,-0.564,-0.25999999999999995,218.34000000000003,326.46000000000004,29.63,23.8,66.88,978.52,857.88
23.94,78.65,1.255,1.6420000000000001,-1.9119999999999997,609.88,693.48,28.1,20.03,63.6,1047.13,761.03
21.46,55.89,-0.606,0.9,1.6139999999999999,539.45,639.9,32.9,20.29,59.47,1010.09,682.19
20.72,39.8,-1.095,0.845,1.669,360.36,1316.67,32.15,31.54,57.27,1000.36,718.51
28.3,35.31,-0.351,-0.659,1.247,247.23000000000002,130.68000000000006,27.71,30.58,77.77,977.25,251.74
21.22,74.63,-1.9399999999999997,0.067,-0.533,209.03999999999996,878.04,31.87,24.24,55.91,950.96,174.07
30.2,56.94,-0.873,0.055999999999999994,-0.387,534.92,470.21000000000004,30.12,32.78,67.96,1018.56,930.34
21.98,72.64,0.6459999999999999,1.9989999999999999,0.268,293.58,1703.78,20.56,26.23,59.31,991.76,377.84
25.4,57.09,1.495,-0.308,0.612,550.44,134.15999999999997,30.43,26.24,31.08,970.36,851.09
33.01,71.82,-1.726,0.171,1.9739999999999998,514.16,1319.91,22.71,25.08,39.36,1009.93,893.46
31.84,69.65,1.812,-1.597,-0.276,328.96,1200.0,22.16,23.34,69.52,1046.88,156.81
20.41,61.03,1.196,-0.768,0.906,512.27,1552.53,33.39,26.14,56.24,980.09,166.35000000000002
27.78,63.85,-0.322,1.6760000000000002,-1.838,451.65,1419.79,27.1,20.66,77.68,985.38,644.88
23.4,52.45,-0.411,-1.2040000000000002,-1.307,474.62,1115.76,20.72,26.41,35.82,979.62,584.13
26.75,59.31,-0.295,0.217,-1.7839999999999998,685.82,616.53,27.25,25.2,51.26,1049.63,131.64
26.96,60.74,0.424,1.382,-0.18399999999999997,595.37,1480.72,30.0,24.26,55.54,1028.04,636.7
24.41,64.8,1.8270000000000002,1.297,-0.937,447.54,628.71,32.64,26.51,73.93,1043.17,900.66
30.88,40.65,1.237,1.815,0.683,606.55,241.67999999999995,33.81,27.98,62.48,1049.31,342.71
29.63,66.69,-1.054,1.107,1.528,661.31,866.94,24.21,21.78,68.47,1030.63,410.39
23.18,49.54,-0.586,0.099,-0.554,271.49,1038.09,21.59,31.01,52.25,1046.45,818.67
25.54,72.92,-1.303,1.409,-1.344,765.46,1628.79,23.69,32.79,43.45,950.84,121.82999999999998
32.82,66.8,-0.94,1.359,-1.3,723.97,755.44,22.36,21.12,69.9,993.22,219.10000000000002
32.78,63.13,-1.994,0.218,0.451,692.78,206.9999999999999,32.82,26.46,68.79,1042.04,485.0
33.73,52.36,0.476,1.291,-0.148,628.85,1726.37,20.63,25.58,77.52,973.37,137.09000000000003
20.47,60.28,0.153,-0.611,-1.4989999999999999,406.57,486.9200000000001,33.63,31.66,60.16,965.85,431.98
28.39,69.33,0.501,-0.1,1.697,651.44,369.24,27.19,30.41,50.21,1047.75,219.09000000000003
30.46,43.8,0.105,0.232,1.2780000000000002,385.85,893.99,21.68,20.67,45.68,1020.74,602.82
20.41,36.29,-0.131,-0.976,-1.313,683.41,689.7,28.75,33.87,56.93,1001.78,312.07
31.26,36.72,1.434,0.16799999999999998,-0.532,695.2,649.01,24.53,27.41,56.08,992.83,674.35
21.87,56.83,-0.8580000000000001,-1.338,-1.317,617.22,1252.89,32.68,31.04,54.78,980.59,189.68
23.11,73.81,-1.265,-0.14,-0.144,634.42,695.05,26.64,26.87,55.91,1019.66,649.05
25.39,59.31,-1.118,-1.283,-0.895,289.39,958.59,27.32,27.87,38.72,1013.68,778.6
26.56,67.27,0.024000000000000004,-0.328,1.002,565.34,649.98,34.93,25.03,44.61,1004.42,865.81
24.67,33.04,-1.197,-1.243,-1.146,738.87,199.29999999999995,22.2,23.65,41.8,1041.78,906.47
24.15,59.5,-0.468,-0.078,-1.247,308.26,788.05,20.48,25.35,76.45,1038.52,526.59
34.34,40.55,-1.243,-0.534,-0.266,382.71,1857.49,23.19,32.01,75.02,1027.23,301.94
22.49,48.46,0.869,-0.048,1.8310000000000002,584.49,1264.83,31.42,32.1,36.18,982.01,673.0
23.59,75.94,0.844,0.324,0.37299999999999994,436.79,1326.91,22.77,27.48,68.39,997.77,497.93
27.94,30.59,-1.654,0.875,-0.736,296.63,156.29999999999995,34.07,27.2,40.65,969.18,467.04
31.39,68.77,-1.7559999999999998,-0.074,1.836,739.2,1278.69,25.12,34.37,54.91,974.47,346.31
29.96,32.16,0.721,-0.308,0.065,540.44,196.04999999999995,25.33,28.67,53.58,1019.61,383.34
33.12,60.37,0.926,-1.844,-0.171,740.94,963.61,26.08,22.54,71.61,959.89,197.98000000000002
30.68,46.75,1.674,1.437,-0.623,602.74,1106.01,27.95,27.16,68.12,950.81,671.43
32.39,57.29,1.335,1.2849999999999997,0.996,650.5,1539.61,32.77,20.61,34.18,977.24,741.54
32.9,42.49,-0.035,0.146,-1.793,452.18,1604.9,23.9,32.54,66.96,960.48,884.7
32.01,48.61,-1.857,1.446,-0.579,514.12,339.80999999999995,33.34,26.72,38.99,985.88,608.8
26.95,74.08,-1.236,1.726,0.611,381.53,1780.97,27.14,29.57,62.14,1041.73,182.8
25.54,65.56,1.095,0.491,-0.129,705.91,1396.19,25.03,27.4,74.73,965.33,871.99
31.36,74.57,1.031,0.975,-1.158,231.38,751.04,31.14,34.16,35.99,1011.29,452.02
26.48,33.98,-0.49,1.156,1.354,354.27,1355.74,32.94,25.41,59.57,1039.86,650.51
24.09,37.52,1.54,-1.247,-0.128,515.44,1065.26,29.14,24.56,74.4,973.0,309.32
31.59,54.87,-0.193,-0.986,-1.943,749.09,274.6600000000001,27.81,23.51,40.5,997.99,499.01
22.29,78.47,0.309,0.934,1.154,251.52,1829.93,27.0,20.47,37.9,1042.95,277.88
24.44,68.64,-0.315,-1.8959999999999997,1.279,675.39,1489.87,28.79,29.07,32.7,953.34,964.0
22.85,68.09,-0.191,-1.726,-1.472,422.18,959.56,22.2,34.67,72.8,1023.55,200.39
28.31,66.04,-1.214,1.774,-1.081,357.78,1916.33,29.32,27.7,34.69,1038.79,533.01
27.44,54.29,-1.416,1.978,1.791,765.57,1899.84,31.35,28.81,32.92,999.41,749.32
31.72,67.51,-1.761,-1.8729999999999998,-0.279,672.44,985.4,21.92,33.67,70.76,1011.13,420.43
30.49,56.91,0.957,1.713,-0.837,378.56,529.59,23.73,29.37,43.12,970.2,916.51
32.0,43.17,-1.988,1.4669999999999999,-0.076,577.93,1017.97,24.97,27.46,51.21,1039.58,130.97000000000003
26.51,67.19,-1.746,-0.465,-1.598,460.23,1569.54,23.76,24.31,34.74,1002.4,562.9
23.13,33.36,0.38100000000000006,1.878,1.116,449.71,882.03,24.17,34.19,65.42,1024.17,948.62
25.76,52.3,-1.462,0.101,-0.803,625.27,486.28999999999996,22.13,25.59,77.34,1030.37,201.76
28.39,77.37,-1.9859999999999998,0.872,0.11800000000000002,408.98,1645.41,31.55,23.14,78.82,1036.85,225.02999999999997
28.44,36.48,0.855,-0.826,-0.4010000000000001,467.69,1770.99,20.57,21.96,38.93,1039.63,165.07
23.26,31.26,0.735,1.522,-0.002999999999999999,608.75,1274.81,27.59,22.01,57.31,1024.31,330.97
29.44,66.84,0.926,-1.767,0.10299999999999998,574.78,1153.28,33.09,30.79,69.23,974.3,136.10000000000002
23.58,40.45,0.44999999999999996,1.605,-1.468,332.90999999999997,1021.82,32.86,20.88,63.87,999.79,871.29
26.38,61.53,-1.542,-0.131,0.92,672.25,1713.78,24.6,25.41,40.61,995.59,831.24
30.18,37.11,0.081,1.189,0.544,280.30000000000007,294.8299999999999,29.57,32.17,64.08,971.12,664.95
23.82,45.86,1.747,-1.666,1.302,220.24,593.7,23.86,32.92,43.68,1046.02,737.49
24.97,37.25,-0.48100000000000004,-0.53,-1.302,644.77,1961.78,31.95,23.93,78.19,960.69,577.5
